label,filename,is_cat,split
Dog,0.jpg,0,train
Dog,1.jpg,0,train
Dog,10.jpg,0,train
Dog,100.jpg,0,train
Dog,1000.jpg,0,train
Dog,10000.jpg,0,train
Dog,10001.jpg,0,train
Dog,10002.jpg,0,train
Dog,10003.jpg,0,train
Dog,10004.jpg,0,train
Dog,10005.jpg,0,train
Dog,10006.jpg,0,train
Dog,10007.jpg,0,train
Dog,10008.jpg,0,train
Dog,10009.jpg,0,train
Dog,1001.jpg,0,train
Dog,10010.jpg,0,test
Dog,10011.jpg,0,train
Dog,10012.jpg,0,train
Dog,10013.jpg,0,train
Dog,10014.jpg,0,train
Dog,10015.jpg,0,train
Dog,10016.jpg,0,test
Dog,10017.jpg,0,train
Dog,10018.jpg,0,train
Dog,10019.jpg,0,test
Dog,1002.jpg,0,train
Dog,10020.jpg,0,train
Dog,10021.jpg,0,train
Dog,10022.jpg,0,train
Dog,10023.jpg,0,train
Dog,10024.jpg,0,train
Dog,10025.jpg,0,train
Dog,10026.jpg,0,val
Dog,10027.jpg,0,train
Dog,10028.jpg,0,train
Dog,10029.jpg,0,train
Dog,1003.jpg,0,train
Dog,10030.jpg,0,train
Dog,10031.jpg,0,train
Dog,10032.jpg,0,train
Dog,10033.jpg,0,train
Dog,10034.jpg,0,train
Dog,10035.jpg,0,train
Dog,10036.jpg,0,test
Dog,10037.jpg,0,train
Dog,10038.jpg,0,train
Dog,10039.jpg,0,train
Dog,1004.jpg,0,train
Dog,10040.jpg,0,train
Dog,10041.jpg,0,train
Dog,10042.jpg,0,train
Dog,10043.jpg,0,train
Dog,10044.jpg,0,train
Dog,10045.jpg,0,test
Dog,10046.jpg,0,train
Dog,10047.jpg,0,train
Dog,10048.jpg,0,train
Dog,10049.jpg,0,train
Dog,1005.jpg,0,train
Dog,10050.jpg,0,train
Dog,10051.jpg,0,train
Dog,10052.jpg,0,test
Dog,10053.jpg,0,train
Dog,10054.jpg,0,train
Dog,10055.jpg,0,train
Dog,10056.jpg,0,train
Dog,10057.jpg,0,train
Dog,10058.jpg,0,train
Dog,10059.jpg,0,train
Dog,1006.jpg,0,train
Dog,10060.jpg,0,train
Dog,10061.jpg,0,train
Dog,10062.jpg,0,train
Dog,10063.jpg,0,train
Dog,10064.jpg,0,test
Dog,10065.jpg,0,train
Dog,10066.jpg,0,train
Dog,10067.jpg,0,train
Dog,10068.jpg,0,train
Dog,10069.jpg,0,train
Dog,1007.jpg,0,train
Dog,10070.jpg,0,train
Dog,10071.jpg,0,train
Dog,10072.jpg,0,train
Dog,10073.jpg,0,train
Dog,10074.jpg,0,train
Dog,10075.jpg,0,train
Dog,10076.jpg,0,train
Dog,10077.jpg,0,train
Dog,10078.jpg,0,test
Dog,10079.jpg,0,train
Dog,1008.jpg,0,train
Dog,10080.jpg,0,train
Dog,10081.jpg,0,train
Dog,10082.jpg,0,train
Dog,10083.jpg,0,train
Dog,10084.jpg,0,train
Dog,10085.jpg,0,train
Dog,10086.jpg,0,train
Dog,10087.jpg,0,train
Dog,10088.jpg,0,train
Dog,10089.jpg,0,train
Dog,1009.jpg,0,train
Dog,10090.jpg,0,train
Dog,10091.jpg,0,train
Dog,10092.jpg,0,train
Dog,10093.jpg,0,train
Dog,10094.jpg,0,train
Dog,10095.jpg,0,train
Dog,10096.jpg,0,train
Dog,10097.jpg,0,train
Dog,10098.jpg,0,train
Dog,10099.jpg,0,val
Dog,101.jpg,0,train
Dog,1010.jpg,0,train
Dog,10100.jpg,0,train
Dog,10101.jpg,0,train
Dog,10102.jpg,0,train
Dog,10103.jpg,0,train
Dog,10104.jpg,0,train
Dog,10105.jpg,0,train
Dog,10106.jpg,0,train
Dog,10107.jpg,0,train
Dog,10108.jpg,0,train
Dog,10109.jpg,0,train
Dog,1011.jpg,0,train
Dog,10110.jpg,0,val
Dog,10111.jpg,0,train
Dog,10112.jpg,0,train
Dog,10113.jpg,0,train
Dog,10114.jpg,0,train
Dog,10115.jpg,0,train
Dog,10116.jpg,0,train
Dog,10117.jpg,0,train
Dog,10118.jpg,0,train
Dog,10119.jpg,0,train
Dog,1012.jpg,0,test
Dog,10120.jpg,0,train
Dog,10121.jpg,0,train
Dog,10122.jpg,0,train
Dog,10123.jpg,0,train
Dog,10124.jpg,0,train
Dog,10125.jpg,0,train
Dog,10126.jpg,0,train
Dog,10127.jpg,0,test
Dog,10128.jpg,0,train
Dog,10129.jpg,0,train
Dog,1013.jpg,0,train
Dog,10130.jpg,0,train
Dog,10131.jpg,0,train
Dog,10132.jpg,0,train
Dog,10133.jpg,0,train
Dog,10134.jpg,0,train
Dog,10135.jpg,0,train
Dog,10136.jpg,0,train
Dog,10137.jpg,0,train
Dog,10138.jpg,0,train
Dog,10139.jpg,0,train
Dog,1014.jpg,0,test
Dog,10140.jpg,0,train
Dog,10141.jpg,0,train
Dog,10142.jpg,0,train
Dog,10143.jpg,0,train
Dog,10144.jpg,0,train
Dog,10145.jpg,0,train
Dog,10146.jpg,0,train
Dog,10147.jpg,0,train
Dog,10148.jpg,0,train
Dog,10149.jpg,0,train
Dog,1015.jpg,0,train
Dog,10150.jpg,0,train
Dog,10151.jpg,0,train
Dog,10152.jpg,0,train
Dog,10153.jpg,0,train
Dog,10154.jpg,0,train
Dog,10155.jpg,0,train
Dog,10156.jpg,0,train
Dog,10157.jpg,0,train
Dog,10158.jpg,0,train
Dog,10159.jpg,0,train
Dog,1016.jpg,0,train
Dog,10160.jpg,0,train
Dog,10161.jpg,0,train
Dog,10162.jpg,0,train
Dog,10163.jpg,0,train
Dog,10164.jpg,0,train
Dog,10165.jpg,0,train
Dog,10166.jpg,0,train
Dog,10167.jpg,0,train
Dog,10168.jpg,0,train
Dog,10169.jpg,0,train
Dog,1017.jpg,0,train
Dog,10170.jpg,0,train
Dog,10171.jpg,0,train
Dog,10172.jpg,0,train
Dog,10173.jpg,0,train
Dog,10174.jpg,0,train
Dog,10175.jpg,0,train
Dog,10176.jpg,0,train
Dog,10177.jpg,0,test
Dog,10178.jpg,0,val
Dog,10179.jpg,0,test
Dog,1018.jpg,0,test
Dog,10180.jpg,0,train
Dog,10181.jpg,0,train
Dog,10182.jpg,0,train
Dog,10183.jpg,0,train
Dog,10184.jpg,0,train
Dog,10185.jpg,0,train
Dog,10186.jpg,0,train
